date,t1,t2,t1_rating,t2_rating,rating_difference,t1_rating_change,t2_rating_change,t1_win
2015-03-03 21:00:00+01:00,Imaginary Gaming Female,Bad Monkey Gaming Female,1007.0,992.0,15.0,-5,5,0
2015-03-12 00:00:00+01:00,Pay Attention,myXMG Female,1012.0,983.0,29.0,-5,5,0
2015-03-15 13:30:00+01:00,CMStorm Female,ALSEN Female,1000.0,1000.0,0.0,25,-25,1
2015-03-15 16:30:00+01:00,Ubinited,Bad Monkey Gaming Female,934.0,997.0,-63.0,-21,21,0
2015-03-15 19:30:00+01:00,ALSEN Female,Ubinited,975.0,913.0,62.0,-29,29,0
2015-03-15 19:30:00+01:00,Bad Monkey Gaming Female,CMStorm Female,1018.0,1025.0,-7.0,26,-26,1
2015-03-16 17:00:00+01:00,GGWP,Quit,975.0,985.0,-10.0,5,-5,1
2015-03-16 20:00:00+01:00,Moscow 5,Zbrilo,990.0,985.0,5.0,5,-5,1
2015-03-19 00:00:00+01:00,Team ALTERNATE Female,Pay Attention,987.0,1007.0,-20.0,-5,5,0
2015-03-19 20:00:00+01:00,USSR,Exploders,893.0,1005.0,-112.0,4,-7,1
2015-03-20 00:00:00+01:00,Bad Monkey Gaming Female,myXMG Female,1044.0,988.0,56.0,4,-4,1
2015-03-20 17:00:00+01:00,Wrecking Gaming,Check6,937.0,1003.0,-66.0,6,-6,1
2015-03-21 03:00:00+01:00,Incursion,Team Jose Ole,1000.0,1000.0,0.0,0,0,1
2015-03-23 01:00:00+01:00,Tempo Gaming,Dethrone,973.0,1000.0,-27.0,3,-3,1
2015-03-23 02:00:00+01:00,Incursion,Backfire,1000.0,995.0,5.0,2,-2,1
2015-03-23 03:00:00+01:00,Make War Not Love,BOXR,956.0,1000.0,-44.0,-2,2,0
2015-03-24 00:00:00+01:00,Pay Attention,3DMAX Female,1012.0,1044.0,-32.0,-5,5,0
2015-03-24 02:00:00+01:00,Fenix Frost,The Flying V,1000.0,1000.0,0.0,-3,3,0
2015-03-24 02:00:00+01:00,Immersive eSports,HEAT,1000.0,990.0,10.0,-3,3,0
2015-03-24 03:00:00+01:00,Precision Gaming,WOOSAH,1000.0,1000.0,0.0,3,-3,1
2015-03-24 03:00:00+01:00,Area 51 Gaming,Off Constantly,899.0,1000.0,-101.0,-1,2,0
2015-03-25 02:00:00+01:00,Off Constantly,Immersive eSports,1002.0,997.0,5.0,2,-2,1
